"id","name","alternative_name","country_name","is_active"
1523,"Brit Air","\N","France","Y"
1524,"Butane Buzzard Aviation Corporation","\N","United Kingdom","N"
1525,"Business Flight Salzburg","\N","Austria","N"
1526,"BKS Air (Rivaflecha)","\N","Spain","N"
1527,"Bristol Flying Centre","\N","United Kingdom","N"
1528,"Barnes Olsen Aeroleasing","\N","United Kingdom","N"
1529,"Baltimore Air Transport","\N","United States","N"
1530,"Boston-Maine Airways","\N","United States","N"
1531,"Brussels Airlines","SN Brussels Airlines","Belgium","Y"
1532,"Baltimore Airways","\N","United States","N"
1533,"Bond Aviation","\N","Italy","N"
1534,"Brazilian Army Aviation","\N","Brazil","N"
1535,"Business Express Delivery","\N","Canada","N"
1536,"Bel Limited","\N","Russia","N"
1537,"Bangkok Aviation Center","\N","Thailand","N"
1538,"Benair","\N","Norway","N"
1539,"Binter Canarias","\N","Spain","Y"
1540,"Bonyad Airlines","\N","Iran","N"
1541,"Burundaiavia","\N","Kazakhstan","N"
1542,"Blue Air","\N","Romania","Y"
1543,"British Mediterranean Airways","\N","United Kingdom","Y"
1544,"Belle Air","\N","Albania","N"
1545,"Blom Geomatics","\N","Norway","N"
1546,"Benin Littoral Airways","\N","Benin","N"
1547,"Bombardier Business Jet Solutions","\N","United States","N"
1548,"Bulgaria Air","\N","Bulgaria","Y"
1549,"Brazilian Navy Aviation","\N","Brazil","N"
1550,"Barents AirLink","\N","Sweden","Y"
1551,"Belgian Navy","\N","Belgium","N"
1552,"Bakoji Airlines Services","\N","Nigeria","N"
1553,"Benders Air","\N","Sweden","N"
1554,"Balmoral Central Contracts","\N","South Africa","N"
1555,"BGB Air","\N","Kazakhstan","N"
1556,"Butte Aviation","\N","United States","N"
1557,"Bond Air Services","\N","United Kingdom","N"
1558,"Business Airfreight","\N","United States","N"
1559,"BAC Express Airlines","\N","United Kingdom","N"
1560,"Boscombe Down DERA (Formation)","\N","United Kingdom","N"
1561,"Business Jet Sweden","\N","Sweden","N"
1562,"British Airways Shuttle","\N","United Kingdom","N"
1563,"British Sky Broadcasting","\N","United Kingdom","N"
1564,"Bell Helicopter Textron","\N","Canada","N"
1565,"Buzzaway Limited","\N","United Kingdom","N"
1566,"Biz Jet Charter","\N","United States","N"
1567,"Blue Chip Jet","\N","Sweden","N"
1568,"BAE Systems","\N","United Kingdom","N"
1569,"BAE Systems","\N","United Kingdom","N"
1570,"Baseops International","\N","United States","N"
1571,"Bureau Veritas","\N","France","N"
1572,"British Airways","\N","United Kingdom","N"
1573,"Boskovic Air Charters Limited","\N","Kenya","N"
1574,"C Air Jet Airlines","\N","Syrian Arab Republic","N"
1575,"C N Air","\N","Spain","N"
1576,"C and M Aviation","\N","United States","N"
1577,"C&M Airways","\N","United States","N"
1578,"C.S.P.","\N","AIR-MAUR","N"
1579,"CABI","\N","Ukraine","N"
1580,"CAI","\N","Italy","N"
1581,"CAL Cargo Air Lines","\N","Israel","Y"
1582,"CAM Air Management","\N","United Kingdom","N"
1583,"CATA L","\N","Argentina","N"
1584,"CCF Manager Airline","\N","Germany","N"
1585,"CEDTA (Compania Ecuatoriana De Transportes Aereos)","\N","Ecuador","N"
1586,"CHC Denmark","\N","Denmark","N"
1587,"CHC Helicopters","\N","Australia","N"
1588,"CHC Airways","\N","Netherlands","N"
1589,"CHC Helikopter Service","\N","Norway","N"
1590,"CI-Tours","\N","Ivory Coast","N"
1591,"CKC Services","\N","United States","N"
1592,"CM Stair","\N","Mauritania","N"
1593,"CNET","\N","France","N"
1594,"COAPA AIR","\N","Mexico","N"
1595,"COMAV","\N","Namibia","N"
1596,"CRI Helicopters Mexico","\N","Mexico","N"
1597,"CSA Air","\N","United States","N"
1598,"CSE Aviation","\N","United Kingdom","N"
1599,"CTK Network Aviation","\N","Ghana","N"
1600,"Cabair College of Air Training","\N","United Kingdom","N"
1601,"Cabo Verde Express","\N","Cape Verde","N"
1602,"Caernarfon Airworld","\N","United Kingdom","N"
1603,"Cairo Air Transport Company","\N","Egypt","N"
1604,"Cal Gulf Aviation","\N","Sao Tome and Principe","N"
1605,"Cal-West Aviation","\N","United States","N"
1606,"California Air Shuttle","\N","United States","N"
1607,"Calima Aviacion","\N","Spain","Y"
1608,"Calm Air","\N","Canada","N"
1609,"Camai Air","\N","United States","N"
1610,"Cambodia Airlines","\N","Cambodia","N"
1611,"Cameroon Airlines","\N","Cameroon","N"
1612,"Campania Helicopteros De Transporte","\N","Spain","N"
1613,"CanJet","\N","Canada","N"
1614,"Canada Jet Charters","\N","Canada","N"
1615,"Canadian Airlines","\N","Canada","Y"
1616,"Canadian Coast Guard","\N","Canada","N"
1617,"Canadian Eagle Aviation","\N","Canada","N"
1618,"Canadian Forces","\N","Canada","N"
1619,"Canadian Global Air Ambulance","\N","Canada","N"
1620,"Canadian Helicopters","\N","Canada","N"
1621,"Canadian Interagency Forest Fire Centre","\N","Canada","N"
1622,"Canadian National Telecommunications","\N","Canada","N"
1623,"Canadian North","\N","Canada","Y"
1624,"Canadian Regional Airlines","\N","Canada","N"
1625,"Canadian Warplane Heritage Museum","\N","Canada","N"
1626,"Canadian Western Airlines","\N","Canada","N"
1627,"Canair","\N","China","N"
1628,"Cancun Air","\N","Mexico","N"
1629,"Cape Air","\N","United States","Y"
1630,"Cape Air Transport","\N","Australia","N"
1631,"Cape Central Airways","\N","United States","N"
1632,"Cape Smythe Air","\N","United States","N"
1633,"Capital Air Service","\N","United States","N"
1634,"Capital Airlines","\N","Kenya","N"
1635,"Capital Airlines Limited","\N","Nigeria","N"
1636,"Capital Cargo International Airlines","\N","United States","N"
1637,"Capital City Air Carriers","\N","United States","N"
1638,"Capital Trading Aviation","\N","United Kingdom","N"
1639,"Capitol Air Express","\N","United States","N"
1640,"Capitol Wings Airline","\N","United States","N"
1641,"Caravan Air","\N","Mauritania","N"
1642,"Cardiff Wales Flying Club","\N","United Kingdom","N"
1643,"Cardinal/Air Virginia","\N","United States","N"
1644,"Cardolaar","\N","Namibia","N"
1645,"Cards Air Services","\N","Philippines","N"
1646,"Care Flight","\N","Australia","N"
1647,"Carga Aerea Dominicana","\N","Dominican Republic","N"
1648,"Carga Express Internacional","\N","Mexico","N"
1649,"Cargo 360","\N","United States","N"
1650,"Cargo Express","\N","Mauritania","N"
1651,"Cargo Ivoire","\N","Ivory Coast","N"
1652,"Cargo Link (Caribbean)","\N","Barbados","N"
1653,"Cargo Three","\N","Panama","N"
1654,"Cargoitalia","\N","Italy","N"
1655,"Cargojet Airways","\N","Canada","N"
1656,"Cargolux","\N","Luxembourg","N"
1657,"Cargoman","\N","Oman","N"
1658,"Carib Aviation","\N","Antigua and Barbuda","N"
1659,"Carib Express","\N","Barbados","N"
1660,"Caribair","\N","Dominican Republic","N"
1661,"Caribbean Air Cargo","\N","Barbados","N"
1662,"Caribbean Air Transport","\N","Netherlands","N"
1663,"Caribbean Airlines","\N","Trinidad and Tobago","Y"
1664,"Caribbean Airways","\N","Barbados","N"
1665,"Caribbean Express","\N","United States","N"
1666,"Caribbean Star Airlines","\N","Antigua and Barbuda","N"
1667,"Caribintair","\N","Haiti","N"
1668,"Carill Aviation","\N","United Kingdom","N"
1669,"Carpatair","\N","Romania","Y"
1670,"Carranza","\N","Chile","N"
1671,"Carroll Air Service","\N","United States","N"
1672,"Casement Aviation","\N","United States","N"
1673,"Casino Airline","\N","United States","N"
1674,"Casper Air Service","\N","United States","N"
1675,"Caspian Airlines","\N","Iran","Y"
1676,"Castle Aviation","\N","United States","N"
1677,"Cat Aviation","\N","Switzerland","N"
1678,"Catalina Flying Boats","\N","United States","N"
1679,"Catex","\N","France","N"
1680,"Cathay Pacific","\N","Hong Kong SAR of China","Y"
1681,"Caverton Helicopters","\N","Nigeria","N"
1682,"Cayman Airways","\N","Cayman Islands","Y"
1683,"Cebu Pacific","\N","Philippines","Y"
1684,"Cecil Aviation","\N","United Kingdom","N"
1685,"Cega Aviation","\N","United Kingdom","N"
1686,"Celtic Airways","\N","United Kingdom","N"
1687,"Celtic West","\N","United Kingdom","N"
1688,"Centavia","\N","Serbia","N"
1689,"Cente D'Essais En Vol","\N","France","N"
1690,"Centennial Airlines","\N","United States","N"
1691,"Centennial Flight Centre","\N","Canada","N"
1692,"Center Vol","\N","Spain","N"
1693,"Center-South","\N","Russia","N"
1694,"Centrafrican Airlines","\N","Central African Republic","N"
1695,"Central Air Express","\N","Democratic Republic of Congo","N"
1696,"Central Airlines","\N","United States","N"
1697,"Central Airways","\N","Sierra Leone","N"
1698,"Central American Airlines","\N","Nicaragua","N"
1699,"Central Aviation","\N","United States","N"
1700,"Central Connect Airlines","\N","Czech Republic","Y"
1701,"Central De Discos De Reynosa","\N","Mexico","N"
1702,"Central European Airlines","\N","Czech Republic","N"
1703,"Central Flying Service","\N","United States","N"
1704,"Central Mongolia Airways","\N","Mongolia","N"
1705,"Central Mountain Air","\N","Canada","N"
1706,"Central Queensland Aviation College","\N","Australia","N"
1707,"Central Skyport","\N","United States","N"
1708,"Centralwings","\N","Poland","Y"
1709,"Centre Airlines","\N","United States","N"
1710,"Centre of Applied Geodynamica","\N","Russia","N"
1711,"Centre-Avia","\N","Russia","N"
1712,"Centro De Helicopteros Corporativos","\N","Mexico","N"
1713,"Centro de Formacion Aeronautica de Canarias","\N","Spain","N"
1714,"Centurion Air Cargo","\N","United States","N"
1715,"Century Aviation","\N","Mexico","N"
1716,"Century Aviation International","\N","Canada","N"
1717,"Certified Air Dispatch","\N","United States","N"
1718,"Cetraca Aviation Service","\N","Democratic Republic of the Congo","N"
1719,"Chabahar Airlines","\N","Iran","N"
1720,"Chalair Aviation","\N","France","N"
1721,"Chalk's Ocean Airways","\N","United States","N"
1722,"Challenge Air Transport","\N","Germany","N"
1723,"Challenge Aviation","\N","Australia","N"
1724,"Challenge International Airlines","\N","United States","N"
1725,"AC Challenge Aero","\N","Ukraine","N"
1726,"Champagne Airlines","\N","France","N"
1727,"Champion Air","\N","United States","N"
1728,"Chanchangi Airlines","\N","Nigeria","N"
1729,"Changan Airlines","\N","China","N"
1730,"Channel Island Aviation","\N","United States","N"
1731,"Chantilly Air","\N","United States","N"
1732,"Chaparral Airlines","\N","United States","N"
1733,"Chari Aviation Services","\N","Chad","N"
1734,"Charlan Air Charter","\N","South Africa","N"
1735,"Charlie Hammonds Flying Service","\N","United States","N"
1736,"Charlotte Air National Guard","\N","United States","N"
1737,"Charter Air","\N","Austria","Y"
1738,"Chartright Air","\N","Canada","N"
1739,"Chautauqua Airlines","\N","United States","Y"
1740,"Cheboksary Airenterprise JSC","\N","Russia","N"
1741,"Chemech Aviation","\N","Pakistan","N"
1742,"Cherline","\N","Russia","N"
1743,"Chernomor-Avia","\N","Russia","N"
1744,"Cherokee Express","\N","United States","N"
1745,"Cherry Air","\N","United States","N"
1746,"Chesapeake Air Service","\N","United States","N"
1747,"Chevron U.S.A","\N","United States","N"
1748,"Cheyenne Airways","\N","United States","N"
1749,"Chicago Air","\N","United States","N"
1750,"Chicago Express","\N","United States","N"
1751,"Chief Rat Flight Services","\N","South Africa","N"
1752,"Chilchota Taxi Aereo","\N","Mexico","N"
1753,"Chilcotin Caribou Aviation","\N","Canada","N"
1754,"Chilliwack Aviation","\N","Canada","N"
1755,"Chim-Nir Aviation","\N","Israel","N"
1756,"China Airlines","\N","Taiwan","Y"
1757,"China Cargo Airlines","\N","China","N"
1758,"China Eastern Airlines","\N","China","Y"
1759,"China Express Airlines","\N","China","N"
1760,"China Flying Dragon Aviation","\N","China","N"
1761,"China General Aviation Corporation","\N","China","N"
1762,"China National Aviation Corporation","\N","China","N"
1763,"China Northern Airlines","\N","China","N"
1764,"China Northwest Airlines","\N","China","N"
1765,"China Ocean Helicopter Corporation","\N","China","N"
1766,"China Postal Airlines","\N","China","N"
1767,"China Southern Airlines","\N","China","Y"
1768,"China Southwest Airlines","\N","China","N"
1769,"China United Airlines","\N","China","Y"
1770,"China Xinhua Airlines","\N","China","N"
1771,"Yunnan Airlines","\N","China","Y"
1772,"Chinguetti Airlines","\N","Mauritania","N"
1773,"Chipola Aviation","\N","United States","N"
1774,"Chippewa Air Commuter","\N","United States","N"
1775,"Chitaavia","\N","Russia","N"
1776,"Christman Air System","\N","United States","N"
1777,"Christophorus Flugrettungsverein","\N","Austria","N"
1778,"Chrome Air Services","\N","United States","N"
1779,"Church Aircraft","\N","United States","N"
1780,"Cielos Airlines","\N","Peru","N"
1781,"Cimber Air","\N","Denmark","Y"
1782,"Cirrus","\N","Chile","N"
1783,"Cirrus Air","\N","United States","N"
1784,"Cirrus Airlines","\N","Germany","Y"
1785,"Cirrus Middle East","\N","Lebanon","N"
1786,"Citationshares","\N","United States","N"
1787,"Citibank","\N","United States","N"
1788,"Citic General Aviation","\N","China","N"
1789,"City Airline","\N","Sweden","Y"
1790,"City Connexion Airlines","\N","Burundi","Y"
1791,"City of Bangor","\N","United States","N"
1792,"CityJet","\N","Ireland","Y"
1793,"Cityair (Chester) Limited","\N","United Kingdom","N"
1794,"Cityfly","\N","Italy","N"
1795,"BA CityFlyer","\N","United Kingdom","Y"
1796,"Cityline Hungary","\N","Hungary","N"
1797,"Citylink Airlines","\N","United States","N"
1798,"Civair Airways","\N","South Africa","N"
1799,"Civil Air Patrol South Carolina Wing","\N","United States","N"
1800,"Civil Air Transport","\N","Taiwan","N"
1801,"Civil Aviation Authority","\N","Slovakia","N"
2777,"Hope Air","\N","Canada","N"
1802,"Civil Aviation Authority of New Zealand","\N","New Zealand","N"
1803,"Civil Aviation Inspectorate of the Czech Republic","\N","Czech Republic","N"
1804,"Claessens International Limited","\N","United Kingdom","N"
1805,"Clark Aviation","\N","United States","N"
1806,"Clasair","\N","United Kingdom","N"
1807,"Clay Lacy Aviation","\N","United States","N"
1808,"Click Airways","\N","Kyrgyzstan","Y"
1809,"Cloud 9 Air Charters","\N","South Africa","N"
1810,"Clowes Estates Limited","\N","United Kingdom","N"
1811,"Club 328","\N","United Kingdom","N"
1812,"Club Air","\N","Italy","N"
1813,"Coast Air","\N","Norway","N"
1814,"Coastal Air","\N","United States","Y"
1815,"Coastal Air Transport","\N","United States","N"
1816,"Coastal Airways","\N","United States","N"
1817,"Coastal Travels","\N","Tanzania","N"
1818,"Cohlmia Aviation","\N","United States","N"
1819,"Colaereos","\N","Ecuador","N"
1820,"Colemill Enterprises","\N","United States","N"
1821,"Colgan Air","\N","United States","Y"
1822,"Colibri Aviation","\N","Canada","N"
1823,"Colt International","\N","United States","N"
1824,"Columbia Airlines","\N","Canada","N"
1825,"Columbia Helicopters","\N","United States","N"
1826,"Columbus Air Transport","\N","United States","N"
1827,"Colvin Aviation","\N","United States","N"
1828,"Comair","\N","United States","Y"
1829,"Comair","\N","South Africa","Y"
1830,"Comed Group","\N","United Kingdom","N"
1831,"Comeravia","\N","Venezuela","N"
1832,"Comercial Aerea","\N","Mexico","N"
1833,"Comet Airlines","\N","Nigeria","N"
1834,"Comfort Air","\N","Germany","N"
1835,"Comlux Aviation","\N","Switzerland","N"
1836,"Commair Aviation","\N","United Kingdom","N"
1837,"Commandement Du Transport Aerien Militaire Francais","\N","France","N"
1838,"Commander Air Charter","\N","Canada","N"
1839,"Commander Mexicana","\N","Mexico","N"
1840,"Commercial Aviation","\N","Canada","N"
1841,"Commodore Aviation","\N","Australia","N"
1842,"Commonwealth Jet Service","\N","United States","N"
1843,"CommutAir","\N","United States","Y"
1844,"Comores Airlines","\N","Comoros","Y"
1845,"Compagnia Generale Ripreseaeree","\N","Italy","N"
1846,"Compagnie Aerienne du Mali","\N","Mali","N"
1847,"Compagnie Mauritanienne Des Transports","\N","Mauritania","N"
1848,"Compagnie de Bauxites de Guinee","\N","Guinea","N"
1849,"Compania Aerea de Valencia","\N","Spain","N"
1850,"Compania Aerotecnicas Fotograficas","\N","Spain","N"
1851,"Compania Boliviana de Transporte Aereo Privado Aerosur","\N","ASUR","N"
1852,"Compania De Actividades Y Servicios De Aviacion","\N","Spain","N"
1853,"Compania Ejecutiva","\N","Mexico","N"
1854,"Compania Helicopteros Del Sureste","\N","Spain","N"
1855,"Compania Mexicana De Aeroplanos","\N","Mexico","N"
1856,"Compania Mexicargo","\N","Mexico","N"
1857,"Compania Transportes Aereos Del Sur","\N","Spain","N"
1858,"Compania de Servicios Aereos Tavisa","\N","Spain","N"
1859,"Company Flight","\N","Denmark","N"
1860,"Compass Airlines","\N","United States","Y"
1861,"Compass International Airways","\N","United Kingdom","N"
1862,"Compuflight Operations Service","\N","United States","N"
1863,"Compuserve Incorporated","\N","United States","N"
1864,"Conair Aviation","\N","Canada","N"
1865,"Concordavia","\N","Ukraine","N"
1866,"Condor Aero Services","\N","United States","N"
1867,"Condor","\N","Germany","N"
1868,"Condor Flugdienst","\N","Germany","Y"
1869,"Confort Air","\N","Canada","N"
1870,"Congo Air","\N","Bahamas","N"
1871,"Congressional Air","\N","United States","N"
1872,"Conifair Aviation","\N","Canada","N"
1873,"Connectair Charters","\N","Canada","N"
1874,"Conquest Airlines","\N","United States","N"
1875,"Conroe Aviation Services","\N","United States","N"
1876,"Consorcio Aviaxsa","\N","Mexico","Y"
1877,"Consorcio Helitec","\N","Venezuela","N"
1878,"Constanta Airline","\N","Ukraine","N"
1879,"Contact Air","Contactair","Germany","Y"
1880,"Contel ASC","\N","United States","N"
1881,"Continental Airlines","\N","United States","Y"
1882,"Continental Airways","\N","Russia","N"
1883,"Continental Express","\N","United States","Y"
1884,"Continental Micronesia","\N","United States","Y"
1885,"Continental Oil","\N","United States","N"
1886,"Conviasa","\N","Venezuela","Y"
1887,"Cook Inlet Aviation","\N","United States","N"
1888,"Cooper Aerial Surveys","\N","United Kingdom","N"
1889,"Copa Airlines","\N","Panama","Y"
1890,"Copenhagen Airtaxi","\N","Denmark","N"
1891,"Copper State Air Service","\N","United States","N"
1892,"Copterline","\N","Finland","Y"
1893,"Coptrade Air Transport","\N","Sudan","N"
1894,"Corendon Airlines","\N","Turkey","Y"
1895,"Coronado Aerolineas","\N","Colombia","N"
1896,"Corpac Canada","\N","Canada","N"
1897,"Corporacion Aereo Cencor","\N","Mexico","N"
1898,"Corporacion Aeroangeles","\N","Mexico","N"
1899,"Corporacion Paraguaya De Aeronautica","\N","Paraguay","N"
1900,"Corporate Air","\N","United States","N"
1901,"Corporate Air","\N","United States","N"
1902,"Corporate Aircraft Company","\N","United States","N"
1903,"Corporate Airlink","\N","Canada","N"
1904,"Corporate Aviation Services","\N","United States","N"
1905,"Corporate Flight International","\N","United States","N"
1906,"Corporate Flight Management","\N","United States","N"
1907,"Corporate Jets","\N","United States","N"
1908,"Corsairfly","\N","France","Y"
1909,"Corse-Mediterranee","\N","France","Y"
1910,"Cosmic Air","\N","Nepal","N"
1911,"Cougar Helicopters","\N","Canada","N"
1912,"Coulson Flying Service","\N","United Kingdom","N"
1913,"Country Connection Airlines","\N","Australia","N"
1914,"Country International Airlines","\N","Kyrgyzstan","N"
1915,"Courier Services","\N","United States","N"
1916,"Court Helicopters","\N","South Africa","N"
1917,"Coval Air","\N","Canada","N"
1918,"Cowi","\N","Netherlands","N"
1919,"Coyne Aviation","\N","United Kingdom","N"
1920,"Cranfield University","\N","United Kingdom","N"
1921,"Cree Airways","\N","Canada","N"
1922,"Crelam","\N","Mexico","N"
1923,"Crest Aviation","\N","United Kingdom","Y"
1924,"Crimea Universal Avia","\N","Ukraine","N"
1925,"Croatia Airlines","\N","Croatia","Y"
1926,"Croatian Air Force","\N","Croatia","N"
1927,"Cross Aviation","\N","United Kingdom","N"
1928,"Crossair Europe","\N","Switzerland","N"
1929,"Crow Executive Air","\N","United States","N"
1930,"Crown Air Systems","\N","United States","N"
1931,"Crown Airways","\N","United States","Y"
1932,"Crownair","\N","Canada","N"
1933,"Cruiser Linhas Aereas","\N","Brazil","N"
1934,"Cryderman Air Service","\N","United States","N"
1935,"Crystal Shamrock","\N","United States","N"
1936,"Cubana de Aviación","\N","Cuba","Y"
1937,"Cumberland Airways (Nicholson Air Service)","\N","United States","N"
1938,"Custom Air Transport","\N","United States","N"
1939,"Cygnus Air","\N","Spain","N"
1940,"Cyprair Tours","\N","Cyprus","N"
1941,"Cypress Airlines","\N","Canada","N"
1942,"Cyprus Airways","\N","Cyprus","Y"
1943,"Cyprus Turkish Airlines","\N","Turkey","Y"
1944,"Czech Air Force","\N","Czech Republic","N"
1945,"Czech Air Handling","\N","Czech Republic","N"
1946,"Czech Airlines","CSA Czech Airlines","Czech Republic","Y"
1947,"Czech Government Flying Service","\N","Czech Republic","N"
1948,"D & D Aviation","\N","United States","N"
1949,"D&K Aviation","\N","United States","N"
1950,"DAP Helicopteros","\N","Chile","N"
1951,"DFS UK Limited","\N","United Kingdom","N"
1952,"DAS Air Cargo","\N","Uganda","N"
1953,"DAS Airlines","\N","Democratic Republic of the Congo","N"
1954,"DAT Danish Air Transport","\N","Denmark","Y"
1955,"DAT Enterprise Limited","\N","United Kingdom","N"
1956,"DERA Boscombe Down","\N","United Kingdom","N"
1957,"DESNA","\N","Ukraine","N"
1958,"DETA Air","\N","Kazakhstan","N"
1959,"DGO Jet","\N","Mexico","N"
1960,"DHL Aero Expreso","\N","Panama","N"
1961,"DHL Air","\N","United Kingdom","N"
1962,"DHL Aviation","\N","South Africa","N"
1963,"DHL International","\N","Bahrain","N"
1964,"DHL de Guatemala","\N","Guatemala","N"
1965,"DSWA","\N","United States","N"
1966,"Daallo Airlines","\N","Djibouti","Y"
1967,"Dagestan Airlines","\N","Russia","N"
1968,"Dahla Airlines","\N","Democratic Republic of Congo","N"
1969,"Daimler Chrysler Aviation","\N","Germany","N"
1970,"Daimler-Chrysler","\N","United States","N"
1971,"Daka","\N","Kazakhstan","N"
1972,"Dala Air Services","\N","Nigeria","N"
1973,"Dalavia","\N","Russia","Y"
1974,"Dallas Express Airlines","\N","United States","N"
1975,"Damascene Airways","\N","Syrian Arab Republic","N"
1976,"Danbury Airways","\N","United States","N"
1977,"Dancopter","\N","Denmark","N"
1978,"Danish Air Force","\N","Denmark","N"
1979,"Danish Army","\N","Denmark","N"
1980,"Danish Navy","\N","Denmark","N"
1981,"Danu Oro Transportas","\N","Lithuania","N"
1982,"Darta","\N","France","N"
1983,"Darwin Airline","\N","Switzerland","Y"
1984,"Dasab Airlines","\N","Uganda","N"
1985,"Dash Air Charter","\N","United States","N"
1986,"Dash Aviation","\N","United Kingdom","N"
1987,"Dasnair","\N","Switzerland","N"
1988,"Dassault Aviation","\N","France","N"
1989,"Dassault Falcon Jet Corporation","\N","United States","N"
1990,"Dassault Falcon Service","\N","France","N"
1991,"Data International","\N","Sudan","N"
1992,"Date Transformation Corp","\N","United States","N"
1993,"Dauair","\N","Germany","N"
1994,"David Crawshaw Consultants Limited","\N","United Kingdom","N"
1995,"Dawn Air","\N","United States","N"
1996,"DayJet","\N","United States","N"
1997,"Daya Aviation","\N","Sri Lanka","N"
1998,"De Havilland","\N","Canada","N"
1999,"Deadalos Flugtbetriebs","\N","Austria","N"
2000,"Decatur Aviation","\N","United States","N"
2001,"Deccan Aviation","\N","India","N"
2002,"Deccan Aviation (Lanka)","\N","Sri Lanka","N"
2003,"Deer Jet","\N","China","N"
2004,"Deere and Company","\N","United States","N"
2005,"Delaware Skyways","\N","United States","N"
2006,"Delta Aerotaxi","\N","Italy","Y"
2007,"Delta Air Charter","\N","Canada","N"
2008,"Delta Air Elite","\N","United States","N"
2009,"Delta Air Lines","\N","United States","Y"
2010,"Delta Engineering Aviation","\N","United Kingdom","N"
2011,"Delta Express International","\N","Ukraine","N"
2012,"Delta State University","\N","United States","N"
2013,"Denim Air","\N","Netherlands","Y"
2014,"Denver Express","\N","United States","N"
2015,"Denver Jet","\N","United States","N"
2016,"Departmento De Agricultura De La Generalitat De Cataluna","\N","Spain","N"
2017,"Deraya Air Taxi","\N","Indonesia","N"
2018,"Des R Cargo Express","\N","Mauritania","N"
2019,"Desarrollo Milaz","\N","Mexico","N"
2020,"Destiny Air Services","\N","Sierra Leone","N"
2021,"Deutsche Bahn","\N","Germany","Y"
2022,"Deutsche Rettungsflugwacht","\N","Germany","N"
2023,"Deutsches Zentrum fur Luft-und Raumfahrt EV","\N","Germany","N"
2024,"Di Air","\N","Serbia","N"
2025,"Diamond Aviation","\N","United States","N"
2026,"Didier Rousset Buy","\N","Chile","N"
2027,"Digital Equipment Corporation","\N","United States","N"
2028,"Dinar","\N","Argentina","N"
2029,"Diplomatic Freight Services","\N","United Kingdom","N"
2030,"Direccion General de Aviacion Civil y Telecomunicasciones","\N","Spain","N"
2031,"Direct Air","\N","United States","N"
2032,"Direct Air trading as Midway Connection","\N","United States","N"
2033,"Direct Flight","\N","United Kingdom","N"
2034,"Sky Express","\N","Poland","N"
2035,"Dirgantara Air Service","\N","Indonesia","N"
2036,"Discover Air","\N","United States","N"
2037,"Discovery Airways","\N","United States","N"
2038,"Dispatch Services","\N","United States","N"
2039,"Dix Aviation","\N","Germany","N"
2040,"Dixie Airways","\N","United States","N"
2041,"Djibouti Airlines","\N","Djibouti","Y"
2042,"Dniproavia","\N","Ukraine","Y"
2043,"Flying Dolphin Airlines","\N","United Arab Emirates","N"
2044,"Dolphin Express Airlines","\N","United States","N"
2045,"Dome Petroleum","\N","Canada","N"
2046,"Dominguez Toledo (Grupo Mayoral)","\N","Spain","N"
2047,"Dominicana de Aviaci","\N","Dominican Republic","Y"
2048,"Domodedovo Airlines","\N","Russia","Y"
2049,"Don Avia","\N","Kazakhstan","N"
2050,"Donair Flying Club","\N","United Kingdom","N"
2051,"DonbassAero","\N","Ukraine","Y"
2052,"Dorado Air","\N","Dominican Republic","N"
2053,"Dornier","\N","Germany","N"
2054,"Dornier Aviation Nigeria","\N","Nigeria","N"
2055,"Dos Mundos","\N","Dominican Republic","N"
2056,"Dragonair","\N","DRAGON","Y"
2057,"Dreamcatcher Airways","\N","United Kingdom","N"
2058,"Druk Air","\N","Bhutan","Y"
2059,"Drummond Island Air","\N","United States","N"
2060,"Dubai Airwing","\N","United Arab Emirates","N"
2061,"Dubrovnik Air","\N","Croatia","Y"
2062,"Ducair","\N","Luxembourg","N"
2063,"Duchess of Britany (Jersey) Limited","\N","United Kingdom","N"
2064,"UK Royal/HRH Duke of York","\N","United Kingdom","N"
2065,"Dun'Air","\N","Mauritania","N"
2066,"Duncan Aviation","\N","United States","N"
2067,"Dunyaya Bakis Hava Tasimaciligi","\N","Turkey","N"
2068,"Duo Airways","\N","United Kingdom","N"
2069,"Durango Jet","\N","Mexico","N"
2070,"Dutch Antilles Express","\N","Netherlands Antilles","Y"
2071,"Dutch Caribbean Express","\N","Netherlands Antilles","N"
2072,"Dutchbird","\N","Netherlands","N"
2073,"Dwyer Aircraft Services","\N","United States","N"
2074,"Dynair Services","\N","United States","N"
2075,"Dynamair Aviation","\N","Canada","N"
2076,"Dynamic Air","\N","Netherlands","N"
2077,"dba","\N","Germany","Y"
2078,"E H Darby Aviation","\N","United States","N"
2079,"Electronic Data Systems","\N","Switzerland","N"
2080,"Electronic Data Systems","\N",NULL,"N"
2081,"EAA Escola De Aviacao Aerocondor","\N","Portugal","N"
2082,"Executive Airlines Services","\N","Nigeria","N"
2083,"EFAOS- Agencia De Viagens e Turismo","\N","Angola","N"
2084,"EFD Eisele Flugdienst","\N","Germany","N"
2085,"EFS-Flugservice","\N","Germany","N"
2086,"EIS Aircraft","\N","Germany","N"
2087,"EPAG Groupe Air France","\N","France","N"
2088,"ESI Eliservizi Italiani","\N","Italy","N"
2089,"EU Airways","\N","Ireland","N"
2090,"EUjet","\N","Ireland","N"
2091,"EVA Air","\N","Taiwan","Y"
2092,"Eagle Aero","\N","United States","N"
2093,"Eagle Air","\N","Sierra Leone","N"
2094,"Eagle Air","\N","Uganda","Y"
2095,"Eagle Air Company","\N","Thailand","N"
